year,product code,title,module code,type,system,setting
1974,2002,Dungeons & Dragons,,boxed set,D&D,
1975,2003,Supplement I: Greyhawk,,accessory,D&D,
1975,2004,Supplement II: Blackmoor,,accessory,D&D,
1976,2005,Supplement III: Eldritch Wizardry,,accessory,D&D,
1976,2006,"Supplement IV: Gods, Demi-Gods & Heroes",,accessory,D&D,
1976,2007,Swords & Spells,,accessory,D&D,
1976,9004,Dungeon Geomorphs Set One: Basic Dungeon,,accessory,D&D,
1977,2009,Monster Manual,,hardcover,AD&D,
1977,2001,Dungeons & Dragons Basic Set,,boxed set,D&D,
1977,9014,Character Record Sheets,,accessory,D&D,
1977,9005,Dungeon Geomorphs Set Two: Caves & Caverns,,accessory,D&D,
1977,9006,Dungeon Geomorphs Set Three: Lower Dungeons,,accessory,D&D,
1977,9008,Outdoor Geomorphs Set One: Walled City,,accessory,D&D,
1977,9011,Monster & Treasure Assortment Set One: Levels One–Three,,accessory,D&D,
1977,9012,Monster & Treasure Assortment Set Two: Levels Four–Six,,accessory,D&D,
1978,2010,Players Handbook,,hardcover,AD&D,
1978,9015,Monster & Treasure Assortment Set Three: Levels Seven–Nine,,accessory,D&D,
1978,9023,In Search of the Unknown,B1,adventure,D&D,
1978,9019,Descent into the Depths of the Earth,D1,adventure,AD&D,
1978,9020,The Shrine of the Kuo-Toa,D2,adventure,AD&D,
1978,9021,Vault of the Drow,D3,adventure,AD&D,
1978,9016,Steading of the Hill Giant Chief,G1,adventure,AD&D,
1978,9017,The Glacial Rift of the Front Giant Jarl,G2,adventure,AD&D,
1978,9018,Hall of the Fire Giant King,G3,adventure,AD&D,
1978,9022,Tomb of Horrors,S1,adventure,AD&D,Greyhawk
1979,2011,Dungeon Masters Guide,,hardcover,AD&D,
1979,9024,Dungeon Masters Screen,,accessory,AD&D,
1979,9030,Non-Player Character Records,,accessory,AD&D,
1979,9029,Permanent Character Folder and Adventure Records,,accessory,AD&D,
1979,9028,Player Character Record Sheets,,accessory,AD&D,
1979,9034,Keep on the Borderlands,B2,adventure,D&D,
1979,9027,White Plume Mountain,S2,adventure,AD&D,Greyhawk
1979,9026,Village of Hommlet,T1,adventure,AD&D,Greyhawk
1980,2013,Deities & Demigods,,hardcover,AD&D,
1980,9048,Dungeon Geomorphs Set One-Three,,accessory,D&D,
1980,9036,Dungeon Masters Adventure Log,,accessory,AD&D,
1980,9047,Monster & Treasure Assortment Set One-Three,,accessory,D&D,
1980,9037,Player Character Record Sheets,,accessory,D&D,
1980,9031,The Rogue's Gallery,,accessory,AD&D,
1980,9025,World of Greyhawk,,accessory,AD&D,Greyhawk
1980,9039,Slave Pits of the Undercity,A1,adventure,AD&D,Greyhawk
1980,9032,The Hidden Shrine of Tomoachan,C1,adventure,AD&D,Greyhawk
1980,9038,Ghost Tower of Inverness,C2,adventure,AD&D,Greyhawk
1980,9035,Queen of the Demonweb Pits,Q1,adventure,AD&D,
1980,9033,Expedition to the Barrier Peaks,S3,adventure,AD&D,Greyhawk
1981,2012,Fiend Folio,,hardcover,AD&D,
1981,1011,Dungeons & Dragons Basic Set,,boxed set,D&D,
1981,1012,Dungeons & Dragons Expert Set,,boxed set,D&D,
1981,9040,Secret of the Slavers Stockade,A2,adventure,AD&D,Greyhawk
1981,9041,Assault on the Aerie of the Slave Lords,A3,adventure,AD&D,Greyhawk
1981,9042,In the Dungeon of the Slave Lords,A4,adventure,AD&D,Greyhawk
1981,9044,Palace of the Silver Princess,B3,adventure,D&D,
1981,9059,Descent into the Depths of the Earth,D1-2,adventure,AD&D,
1981,9058,Against the Giants,G1-2-3,adventure,AD&D,
1981,9046,Dwellers of the Forbidden City,I1,adventure,AD&D,Greyhawk
1981,9045,The Secret of Bone Hill,L1,adventure,AD&D,Greyhawk
1981,9062,The Sinister Secret of Saltmarsh,U1,adventure,AD&D,Greyhawk
1981,9043,The Isle of Dread,X1,adventure,D&D,
1982,9049,The Lost City,B4,adventure,D&D,
1982,9055,Tomb of the Lizard King,I2,adventure,AD&D,
1982,9052,Pharoah,I3,adventure,AD&D,
1982,9063,Against the Cult of the Reptile God,N1,adventure,AD&D,Greyhawk
1982,9061,Lost Caverns of Tsojcanth,S4,adventure,AD&D,Greyhawk
1982,9064,Danger at Dunwater,U2,adventure,AD&D,Greyhawk
1982,9065,The Forgotten Temple of Tharizdun,WG4,adventure,AD&D,Greyhawk
1982,9051,Castle Amber,X2,adventure,D&D,
1982,9056,Curse of Xanathon,X3,adventure,D&D,
1983,2016,Monster Manual II,,hardcover,AD&D,
1983,1011,Dungeons & Dragons Set 1: Basic Rules,,boxed set,D&D,
1983,1012,Dungeons & Dragons Set 2: Expert Rules,,boxed set,D&D,
1983,1015,World of Greyhawk,,boxed set,AD&D,Greyhawk
1983,9100,The Shady Dragon Inn,AC1,accessory,D&D,
1983,9078,Horror on the Hill,B5,adventure,D&D,
1983,9072,Dungeonland,EX1,adventure,AD&D,
1983,9073,The Land Beyond the Magic Mirror,EX2,adventure,AD&D,
1983,9053,Oasis of the White Palm,I4,adventure,AD&D,
1983,9054,Lost Tomb of Martek,I5,adventure,AD&D,
1983,9075,Ravenloft,I6,adventure,AD&D,Ravenloft
1983,9057,The Assassin’s Knot,L2,adventure,AD&D,Greyhawk
1983,9067,Blizzard Pass,M1,adventure,D&D,
1983,9060,Maze of the Riddling Minotaur,M2,adventure,D&D,
1983,9050,The Gem and the Staff,O1,adventure,D&D,
1983,9076,The Final Enemy,U3,adventure,AD&D,Greyhawk
1983,9066,Beyond the Crystal Cave,UK1,adventure,AD&D,Greyhawk
1983,9101,The Sentinel,UK2,adventure,AD&D,Greyhawk
1983,9068,Master of the Desert Nomads,X4,adventure,D&D,
1983,9069,Temple of Death,X5,adventure,D&D,
1984,1013,Dungeons & Dragons Set 3: Companion Rules,,boxed set,D&D,
1984,9099,Combat Shield & Mini-adventure,AC2,accessory,D&D,
1984,9121,3-D Dragon Tiles featuring The Kidnapping of Princess Arelina,AC3,accessory,D&D,
1984,9116,The Book of Marvelous Magic,AC4,accessory,D&D,
1984,9037,Player Character Record Sheets,AC5,accessory,D&D,
1984,9086,The Veiled Society,B6,adventure,D&D,
1984,9115,Rahasia,B7,adventure,D&D,
1984,9106,Journey to the Rock,B8,adventure,D&D,
1984,9097,BSOLO Ghost of Lion Castle,,adventure,D&D,
1984,9110,The Lost Island of Castanamir,C3,adventure,AD&D,
1984,9107,To Find a King,C4,adventure,AD&D,
1984,9123,Conan Unchained!,CB1,adventure,AD&D,
1984,9124,Conan Against Darkness!,CB2,adventure,AD&D,
1984,9117,Test of the Warlords,CM1,adventure,D&D,
1984,9118,Death’s Ride,CM2,adventure,D&D,
1984,9119,Sabre River,CM3,adventure,D&D,
1984,9130,Dragons of Despair,DL1,adventure,AD&D,Dragonlance
1984,9237,Dragons of Flame,DL2,adventure,AD&D,Dragonlance
1984,9132,Dragons of Hope,DL3,adventure,AD&D,Dragonlance
1984,9131,Dragons of Desolation,DL4,adventure,AD&D,Dragonlance
1984,9139,Dragons of Mystery,DL5,adventure,AD&D,Dragonlance
1984,9104,Midnight on Dagger Alley,MV1,adventure,AD&D,
1984,9084,The Forest Oracle,N2,adventure,AD&D,
1984,9108,Blade of Vengeance,O2,adventure,D&D,
1984,9111,The Gauntlet,UK3,adventure,AD&D,Greyhawk
1984,9120,When a Star Falls,UK4,adventure,AD&D,
1984,9125,Eye of the Serpent,UK5,adventure,AD&D,
1984,9126,All that Glitters…,UK6,adventure,AD&D,
1984,9112,Mordenkainen’s Fantastic Adventure,WG5,adventure,AD&D,Greyhawk
1984,9081,Quagmire!,X6,adventure,D&D,
1984,9079,The War Rafts of Kron,X7,adventure,D&D,
1984,9127,Drums on Fire Mountain,X8,adventure,D&D,
1984,9114,Quest for the Heartstone,XL1,adventure,D&D,
1984,9082,XSOLO Lathan’s Gold,,adventure,D&D,
1985,,Oriental Adventures,,hardcover,AD&D,
1985,,Unearthed Arcana,,hardcover,AD&D,
1985,,Battlesystem,,boxed set,AD&D,
1985,,Dungeons & Dragons Set 4: Master Rules,,boxed set,D&D,
1985,,Lankhmar: City of Adventure,,accessory,AD&D,Lankhmar
1985,,Player Character Record Sheets,AC6,accessory,D&D,
1985,,Master Player Screen featuring The Spindle,AC7,accessory,D&D,
1985,,3-D Dragon Tiles featuring The Revenge of Rusak,AC8,accessory,D&D,
1985,,DM Screen,REF1,accessory,AD&D,
1985,,Castle Caldwell and Beyond,B9,adventure,D&D,
1985,,The Bane of Llywelyn,C5,adventure,AD&D,
1985,,Swords of the Undercity,CA1,adventure,AD&D,Lankhmar
1985,,Earthshaker!,CM4,adventure,D&D,
1985,,Mystery of the Snow Pearls,CM5,adventure,D&D,
1985,,Where Chaos Reigns,CM6,adventure,D&D,
1985,,Dragons of Ice,DL6,adventure,AD&D,Dragonlance
1985,,Dragons of Light,DL7,adventure,AD&D,Dragonlance
1985,,Dragons of War,DL8,adventure,AD&D,Dragonlance
1985,,Dragons of Deceit,DL9,adventure,AD&D,Dragonlance
1985,,Dragons of Dreams,DL10,adventure,AD&D,Dragonlance
1985,,Dragons of Glory,DL11,adventure,AD&D,Dragonlance
1985,,Bloodstone Pass,H1,adventure,AD&D,
1985,,Baltron’s Beacon,I7,adventure,AD&D,
1985,,Into the Maelstrom,M1,adventure,D&D,
1985,,The Temple of Elemental Evil,T1-4,adventure,AD&D,Greyhawk
1985,,Dark Clouds Gather,UK7,adventure,AD&D,
1985,,Isle of the Ape,WG6,adventure,AD&D,Greyhawk
1985,,The Savage Coast,X9,adventure,D&D,
1985,,"Red Arrow, Black Shield",X10,adventure,D&D,
1985,,Thunderdelve Mountain,XS2,adventure,D&D,
1986,,Dungeoneer’s Survival Guide,,hardcover,AD&D,
1986,,Wilderness Survival Guide,,hardcover,AD&D,
1986,,Dungeons & Dragons Set 5: Immortal Rules,,boxed set,D&D,
1986,,Creature Catalogue,AC9,accessory,D&D,
1986,,Character Record Sheets,REF2,accessory,AD&D,
1986,,Book of Lairs,REF3,accessory,AD&D,
1986,,Scourge of the Slavelords,A1-4,adventure,AD&D,Greyhawk
1986,,Night’s Dark Terror,B10,adventure,D&D,
1986,,Swords of Deceit,CA2,adventure,AD&D,Lankhmar
1986,,The Tree of Life,CM7,adventure,D&D,
1986,,Adventures in Blackmoor,DA1,adventure,D&D,
1986,,Temple of the Frog,DA2,adventure,D&D,
1986,,Dragons of Faith,DL12,adventure,AD&D,Dragonlance
1986,,Dragons of Truth,DL13,adventure,AD&D,Dragonlance
1986,,Dragons of Triumph,DL14,adventure,AD&D,Dragonlance
1986,,Queen of the Spiders,GDQ1-7,adventure,AD&D,
1986,,The Mines of Bloodstone,H2,adventure,AD&D,
1986,,Ravager of Time,I8,adventure,AD&D,
1986,,Day of Al’Akbar,I9,adventure,AD&D,
1986,,Ravenloft II: The House on Griffon Hill,I10,adventure,AD&D,Ravenloft
1986,,Immortal Storm,IM1,adventure,D&D,
1986,,Vengeance of Alphaks,M2,adventure,D&D,
1986,,Twilight Calling,M3,adventure,D&D,
1986,,Destiny of Kings,N3,adventure,AD&D,
1986,,Treasure Hunt,N4,adventure,AD&D,
1986,,Swords of Daimyo,OA1,adventure,AD&D,
1986,,Night of the Seven Swords,OA2,adventure,AD&D,
1986,,Red Sonya Unconquered,RS1,adventure,AD&D,
1986,,Saga of the Shadow Lord,X11,adventure,D&D,
1987,,Dragonlance Adventures,,hardcover,AD&D,Dragonlance
1987,,Manual of the Planes,,hardcover,AD&D,
1987,,Forgotten Realms Campaign,,boxed set,AD&D,Forgotten Realms
1987,,"Kara Tur, the Eastern Lands",,boxed set,AD&D,Forgotten Realms
1987,,Bestiary of Dragons and Giants,AC10,accessory,D&D,
